name,planet_status,mass,radius,orbital_period,angular_distance,discovered,temp_measured,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_mass,star_radius,star_age,star_alternate_names
Kepler-29 c,Confirmed,0.01416,0.209,13.28613,,2011,,Published in a refereed paper,Primary Transit,TTV,Primary Transit,"2MASS J19532359+4729284 c, K00738.02, KIC 10358759 c, KOI-738 c, KOI-738.02, WISE J195323.60+472928.3  c",Kepler-29,298.348324,47.491226,15.5,,14.131,13.673,,851.9,0.76,0.73,,"2MASS J19532359+4729284, KIC 10358759, KOI-738, WISE J195323.60+472928.3"
Kepler-30 d,Confirmed,0.073,0.785,143.34394,,2012,,Published in a refereed paper,Primary Transit,,,"2MASS J19010807+3856502 d, K00806.01, KIC 3832474 d, KOI-806 d, KOI-806.01, WISE J190108.08+385650.1  d",Kepler-30,285.283636,38.947281,15.5,,13.997,13.618,,938.33,0.99,0.95,2.0,"2MASS J19010807+3856502, KIC 3832474, KOI-806, WISE J190108.08+385650.1"
Kepler-30 b,Confirmed,0.036,0.348,29.33434,,2012,,Published in a refereed paper,Primary Transit,,,"2MASS J19010807+3856502 b, K00806.03, KIC 3832474 b, KOI-806 b, KOI-806.03, WISE J190108.08+385650.1  b",Kepler-30,285.283636,38.947281,15.5,,13.997,13.618,,938.33,0.99,0.95,2.0,"2MASS J19010807+3856502, KIC 3832474, KOI-806, WISE J190108.08+385650.1"
Kepler-30 c,Confirmed,2.01,1.097,60.323105,,2012,,Published in a refereed paper,Primary Transit,,,"2MASS J19010807+3856502 c, K00806.02, KIC 3832474 c, KOI-806 c, KOI-806.02, WISE J190108.08+385650.1  c",Kepler-30,285.283636,38.947281,15.5,,13.997,13.618,,938.33,0.99,0.95,2.0,"2MASS J19010807+3856502, KIC 3832474, KOI-806, WISE J190108.08+385650.1"
Kepler-305 b,Confirmed,0.033,0.321,5.487,,2013,,Published in a refereed paper,Primary Transit,,,"2MASS J19565383+4020354 b, K01563.01, KIC 5219234 b, KOI-1563 b, KOI-1563.01, WISE J195653.83+402035.4 b",Kepler-305,299.224311,40.343182,15.8,,14.25,13.737,,889.64,0.83,0.79,,"2MASS J19565383+4020354, KIC 5219234, KOI-1563, WISE J195653.83+402035.4"
Kepler-305 c,Confirmed,0.019,0.294,8.291,,2013,,Published in a refereed paper,Primary Transit,,,"2MASS J19565383+4020354 c, K01563.02, KIC 5219234 c, KOI-1563 c, KOI-1563.02, WISE J195653.83+402035.4 c",Kepler-305,299.224311,40.343182,15.8,,14.25,13.737,,889.64,0.83,0.79,,"2MASS J19565383+4020354, KIC 5219234, KOI-1563, WISE J195653.83+402035.4"
Kepler-31 c,Confirmed,4.7,0.473,42.6318,,2011,,Published in a refereed paper,Primary Transit,,,"2MASS J19360552+4551110 c, K00935.02, KIC 9347899 c, KOI-935 c, KOI-935.02, WISE J193605.51+455111.0  c",Kepler-31,294.023014,45.853081,15.5,,14.233,13.984,,1747.58,1.21,1.22,,"2MASS J19360552+4551110, KIC 9347899, KOI-935, WISE J193605.51+455111.0"
Kepler-31 d,Confirmed,6.8,0.348,87.6451,,2014,,Announced on a website,Primary Transit,,,"2MASS J19360552+4551110 d, K00935.03, KIC 9347899 d, KOI-935 d, KOI-935.03, WISE J193605.51+455111.0  d",Kepler-31,294.023014,45.853081,15.5,,14.233,13.984,,1747.58,1.21,1.22,,"2MASS J19360552+4551110, KIC 9347899, KOI-935, WISE J193605.51+455111.0"
Kepler-32 b,Confirmed,4.1,0.196,5.90124,,2011,,Published in a refereed paper,Primary Transit,,,"2MASS J19512217+4634273 b, K00952.01, KIC 9787239 b, KOI-952 b, KOI-952.01, WISE J195122.14+463427.5  b",Kepler-32,297.842398,46.574281,16.0,,13.616,12.901,,326.85,0.58,0.53,,"2MASS J19512217+4634273, KIC 9787239, KOI-952, WISE J195122.14+463427.5"
Kepler-32 c,Confirmed,0.5,0.178,8.7522,,2011,,Published in a refereed paper,Primary Transit,,,"2MASS J19512217+4634273 c, K00952.02, KIC 9787239 c, KOI-952 c, KOI-952.02, WISE J195122.14+463427.5  c",Kepler-32,297.842398,46.574281,16.0,,13.616,12.901,,326.85,0.58,0.53,,"2MASS J19512217+4634273, KIC 9787239, KOI-952, WISE J195122.14+463427.5"
Kepler-338 b,Confirmed,0.0963,0.218,13.726976,,2014,,Announced on a website,Primary Transit,,,"2MASS J18515494+4047036 b, K01930.01, KIC 5511081 b, KOI-1930 b, KOI-1930.01, WISE J185154.96+404703.8  b",Kepler-338,282.978956,40.784347,,,11.098,10.841,10.756,561.69,1.1,1.74,,"2MASS J18515494+4047036, KIC 5511081, KOI-1930, WISE J185154.96+404703.8"
Kepler-36 b,Confirmed,0.01205,0.134,13.86825,,2012,,Published in a refereed paper,Primary Transit,,,"2MASS J19250004+4913545 b, K00277.02, KIC 11401755 b, KOI-277 b, KOI-277.02, WISE J192500.03+491354.5  b",Kepler-36,291.250191,49.231827,12.0,,11.124,10.85,,470.0,1.03,1.63,6.923,"2MASS J19250004+4913545, KIC 11401755, KOI-277, WISE J192500.03+491354.5"
Kepler-36 c,Confirmed,0.02243,0.328,16.21865,,2012,,Published in a refereed paper,Primary Transit,,,"2MASS J19250004+4913545 c, K00277.01, KIC 11401755 c, KOI-277 c, KOI-277.01, WISE J192500.03+491354.5  c",Kepler-36,291.250191,49.231827,12.0,,11.124,10.85,,470.0,1.03,1.63,6.923,"2MASS J19250004+4913545, KIC 11401755, KOI-277, WISE J192500.03+491354.5"
Kepler-37 b,Confirmed,0.01,0.026,13.36731,,2013,,Published in a refereed paper,Primary Transit,,,"2MASS J18561431+4431052 b, K00245.03, KIC 8478994 b, KOI-245 b, KOI-245.03, WISE J185614.24+443105.9  b",Kepler-37,284.05966,44.518131,10.3,,8.356,8.0,,64.04,0.87,0.79,6.0,"KOI-245 , KIC 8478994 , 2MASS J18561431+4431052 , 2MASS J18561431+4431052, KIC 8478994, KOI-245, WISE J185614.24+443105.9"
Kepler-37 c,Confirmed,0.03776,0.067,21.302,,2013,,Published in a refereed paper,Primary Transit,,,"2MASS J18561431+4431052 c, K00245.02, KIC 8478994 c, KOI-245 c, KOI-245.02, WISE J185614.24+443105.9  c",Kepler-37,284.05966,44.518131,10.3,,8.356,8.0,,64.04,0.87,0.79,6.0,"KOI-245 , KIC 8478994 , 2MASS J18561431+4431052 , 2MASS J18561431+4431052, KIC 8478994, KOI-245, WISE J185614.24+443105.9"
Kepler-37 d,Confirmed,0.017,0.173,39.7922,,2013,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"2MASS J18561431+4431052 d, K00245.01, KIC 8478994 d, KOI-245 d, KOI-245.01, WISE J185614.24+443105.9  d",Kepler-37,284.05966,44.518131,10.3,,8.356,8.0,,64.04,0.87,0.79,6.0,"KOI-245 , KIC 8478994 , 2MASS J18561431+4431052 , 2MASS J18561431+4431052, KIC 8478994, KOI-245, WISE J185614.24+443105.9"
Kepler-39 b,Confirmed,20.1,1.24,21.08721,,2011,,Published in a refereed paper,Primary Transit,,,"KOI-423 b, 2MASS J19475046+4602034 b, K00423.01, KIC 9478990 b, KOI-423.01, WISE J194750.47+460203.5  b",Kepler-39,296.960265,46.034298,14.3,,13.236,12.999,,1090.44,1.29,1.4,2.1,"KOI-423, 2MASS J19475046+4602034, KIC 9478990, WISE J194750.47+460203.5"
Kepler-391 c,Confirmed,1.416,0.316,20.485435,,2014,,Announced on a website,Primary Transit,TTV,Primary Transit,"2MASS J19222923+5103262 c, K02541.02, KIC 12306058 c, KOI-2541 c, KOI-2541.02, WISE J192229.24+510326.4  c",Kepler-391,290.621815,51.057304,,,11.564,11.072,10.97,891.53,1.22,3.57,,"2MASS J19222923+5103262, KIC 12306058, KOI-2541, WISE J192229.24+510326.4"
Kepler-396 b,Confirmed,0.238,0.312,42.994,,2013,,Published in a refereed paper,Primary Transit,,,"2MASS J19443187+4858386 b, K02672.02, KIC 11253827 b, KOI-2672 b, KOI-2672.02, WISE J194431.87+485838.4  b",Kepler-396,296.132818,48.977402,,,10.672,10.356,,225.19,0.81,1.17,,"2MASS J19443187+4858386, KIC 11253827, KOI-2672, WISE J194431.87+485838.4"
Kepler-396 c,Confirmed,0.056,0.473,88.505,,2013,,Published in a refereed paper,Primary Transit,,,"2MASS J19443187+4858386 c, K02672.01, KIC 11253827 c, KOI-2672 c, KOI-2672.01, WISE J194431.87+485838.4  c",Kepler-396,296.132818,48.977402,,,10.672,10.356,,225.19,0.81,1.17,,"2MASS J19443187+4858386, KIC 11253827, KOI-2672, WISE J194431.87+485838.4"
Kepler-4 b,Confirmed,0.077,0.357,3.21346,8.3e-05,2009,,Published in a refereed paper,Primary Transit,,,"2MASS J19022767+5008087 b, K00007.01, KIC 11853905 b, KOI-7 b, KOI-7.01, WISE J190227.69+500808.7  b",Kepler-4,285.615322,50.135754,12.7,,11.122,10.836,,550.0,1.22,1.49,4.5,"2MASS J19022767+5008087, KIC 11853905, KOI-7, WISE J190227.69+500808.7"
Kepler-40 b,Confirmed,2.2,1.17,6.87349,3e-05,2010,,Published in a refereed paper,Primary Transit,,,"KOI-428 b, 2MASS J19471528+4731357 b, K00428.01, KIC 10418224 b, KOI-428.01, WISE J194715.29+473135.5  b",Kepler-40,296.81369,47.526608,14.76,,13.536,13.294,,2700.0,1.48,2.13,2.8,"2MASS J19471528+4731357, KIC 10418224, KOI-428, WISE J194715.29+473135.5"
Kepler-41 b,Confirmed,0.56,1.29,1.8555582,4e-05,2011,,Published in a refereed paper,Primary Transit,,,"KOI-196 b, 2MASS J19380317+4558539 b, K00196.01, KIC 9410930 b, KOI-196.01, WISE J193803.17+455853.9  b",Kepler-41,294.513229,45.981644,14.5,,13.262,12.938,,1128.11,1.15,1.29,4.4,"2MASS J19380317+4558539, KIC 9410930, KOI-196, WISE J193803.17+455853.9"
Kepler-411 b,Confirmed,0.08055,0.214,3.005156,,2013,,Published in a refereed paper,Primary Transit,,," KOI-1781 b, 2MASS J19102533+4931237 b, K01781.02, KIC 11551692 b, KOI-1781 b, KOI-1781.02, Kepler-411 A b, WISE J191025.33+493124.4  b",Kepler-411,287.605582,49.523262,12.5,,10.641,10.161,,153.59,0.87,0.82,0.212,"KOI-1781, 2MASS J19102533+4931237, KIC 11551692, Kepler-411 A, WISE J191025.33+493124.4"
Kepler-411 d,Confirmed,0.04782,0.296,58.02035,,2018,,Published in a refereed paper,Primary Transit,,Primary Transit,"2MASS J19102533+4931237 d, K01781.03, KIC 11551692 d, KOI-1781 d, KOI-1781.03, Kepler-411 A d, WISE J191025.33+493124.4 d",Kepler-411,287.605582,49.523262,12.5,,10.641,10.161,,153.59,0.87,0.82,0.212,"KOI-1781, 2MASS J19102533+4931237, KIC 11551692, Kepler-411 A, WISE J191025.33+493124.4"
Kepler-411 c,Confirmed,0.08306,0.394,7.834435,,2016,,Announced on a website,Primary Transit,,,"KOI-1781 c, 2MASS J19102533+4931237 c, K01781.01, KIC 11551692 c, KOI-1781.01, Kepler-411 A c, WISE J191025.33+493124.4 c",Kepler-411,287.605582,49.523262,12.5,,10.641,10.161,,153.59,0.87,0.82,0.212,"KOI-1781, 2MASS J19102533+4931237, KIC 11551692, Kepler-411 A, WISE J191025.33+493124.4"
Kepler-412 b,Confirmed,0.941,1.341,1.7208604,,2014,,Published in a refereed paper,Primary Transit,,,"2MASS J19042647+4340514 b, K00202.01, KIC 7877496 b, KOI-202 b, KOI-202.01, WISE J190426.48+434051.6  b",Kepler-412,286.110327,43.680958,13.73,,13.19,12.932,,1121.32,1.17,1.29,5.1,"2MASS J19042647+4340514, KIC 7877496, KOI-202, WISE J190426.48+434051.6"
Kepler-419 b,Confirmed,2.5,0.96,69.7546,,2014,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"KOI-1474 b, 2MASS J19414029+5111051 b, K01474.01, KIC 12365184 b, KOI-1474.01, WISE J194140.29+511105.1 b",Kepler-419,295.417899,51.184765,14.0,,12.088,11.899,,1041.31,1.39,1.74,2.8,"KOI-1474, 2MASS J19414029+5111051, KIC 12365184, WISE J194140.29+511105.1"
Kepler-42 c,Confirmed,0.006,0.065,0.45328509,0.000155,2011,,Published in a refereed paper,Primary Transit,,,"2MASS J19285255+4437096 c, K00961.02, KIC 8561063 c, KOI-961 c, KOI-961.02, WISE J192852.66+443704.5 c",Kepler-42,292.219033,44.61916,16.12,,12.177,11.685,,38.7,0.13,0.17,4.5,"2MASS J19285255+4437096, KIC 8561063, KOI-961, WISE J192852.66+443704.5"
Kepler-42 b,Confirmed,0.009,0.07,1.2137672,0.0003,2011,,Published in a refereed paper,Primary Transit,,,"2MASS J19285255+4437096 b, K00961.01, KIC 8561063 b, KOI-961 b, KOI-961.01, WISE J192852.66+443704.5 b",Kepler-42,292.219033,44.61916,16.12,,12.177,11.685,,38.7,0.13,0.17,4.5,"2MASS J19285255+4437096, KIC 8561063, KOI-961, WISE J192852.66+443704.5"
Kepler-42 d,Confirmed,0.003,0.051,1.865169,0.000398,2011,,Published in a refereed paper,Primary Transit,,,"2MASS J19285255+4437096 d, K00961.03, KIC 8561063 d, KOI-961 d, KOI-961.03, WISE J192852.66+443704.5 d",Kepler-42,292.219033,44.61916,16.12,,12.177,11.685,,38.7,0.13,0.17,4.5,"2MASS J19285255+4437096, KIC 8561063, KOI-961, WISE J192852.66+443704.5"
Kepler-422 b,Confirmed,0.43,1.15,7.8914483,,2014,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"2MASS J18503111+4619240 b, K00022.01, KIC 9631995 b, KOI-22 b, KOI-22.01, WISE J185031.11+461923.9 b",Kepler-422,282.629656,46.323357,13.642,,12.357,12.126,,738.2,1.15,1.24,,"2MASS J18503111+4619240, KIC 9631995, KOI-22, WISE J185031.11+461923.9"
Kepler-423 b,Confirmed,0.595,1.192,2.6843285,,2014,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"2MASS J19312537+4623282 b, K00183.01, KIC 9651668 b, KOI-183 b, KOI-183.01, WISE J193125.38+462328.2 b",Kepler-423,292.855742,46.391178,14.499,,13.142,12.847,,725.0,0.85,0.95,11.0,"2MASS J19312537+4623282, KIC 9651668, KOI-183, WISE J193125.38+462328.2"
Kepler-424 b,Confirmed,1.03,0.89,3.3118644,,2014,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"2MASS J19542997+4834388 b, K00214.01, KIC 11046458 b, KOI-214 b, KOI-214.01, WISE J195429.98+483439.0 b",Kepler-424,298.62489,48.577454,14.497,,12.905,12.6,,712.87,1.01,0.94,,"2MASS J19542997+4834388, KIC 11046458, KOI-214, WISE J195429.98+483439.0"
Kepler-425 b,Confirmed,0.25,0.978,3.79701816,,2014,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"Kepler-425 b, 2MASS J19212592+4034038 b, K00188.01, KIC 5357901 b, KOI-188 b, KOI-188.01, WISE J192125.91+403403.8 b",Kepler-425,290.358009,40.567738,15.0,,13.376,12.931,,650.0,0.93,0.86,5.0,"2MASS J19212592+4034038, KIC 5357901, KOI-188, WISE J192125.91+403403.8"
Kepler-426 b,Confirmed,0.34,1.09,3.21751883,,2014,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"Kepler-426 b, 2MASS J19174431+4928242 b, K00195.01, KIC 11502867 b, KOI-195 b, KOI-195.01, WISE J191744.31+492824.3 b",Kepler-426,289.434628,49.4734,15.0,,13.624,13.23,,880.0,0.91,0.92,6.0,"2MASS J19174431+4928242, KIC 11502867, KOI-195, WISE J191744.31+492824.3"
Kepler-427 b,Confirmed,0.29,1.23,10.290994,,2014,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"Kepler-4ee b, 2MASS J19130109+4342175 b, K00192.01, KIC 7950644 b, KOI-192 b, KOI-192.01, WISE J191301.09+434217.4 b",Kepler-427,288.25458,43.704868,14.5,,13.161,12.814,,1100.0,0.96,1.35,7.0,"2MASS J19130109+4342175, KIC 7950644, KOI-192, WISE J191301.09+434217.4"
Kepler-428 b,Confirmed,1.27,1.08,3.52563254,,2014,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"KOI-830 b, 2MASS J19221961+4034386 b, K00830.01, KIC 5358624 b, KOI-830.01",Kepler-428,290.581722,40.5774,15.5,,13.767,13.295,,720.0,0.87,0.8,5.0,"2MASS J19221961+4034386, KIC 5358624, KOI-830"
Kepler-43 b,Confirmed,3.23,1.219,3.0240949,2.3e-05,2011,,Published in a refereed paper,Primary Transit,,,"KOI-135 b, 2MASS J19005780+4640057 b, GSC 03541-00075 b, K00135.01, KIC 9818381 b, KOI-135.01, WISE J190057.80+464005.6  b",Kepler-43,285.240856,46.668255,14.0,,12.858,12.605,,1035.9,1.32,1.42,2.8,"2MASS J19005780+4640057, GSC 03541-00075, KIC 9818381, KOI-135, WISE J190057.80+464005.6"
Kepler-432 b,Confirmed,5.41,1.145,52.501129,,2015,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"KOI-1299 b, 2MASS J19330772+4817092 b, K01299.01, KIC 10864656 b, KOI-1299.01, WISE J193307.73+481709.3 b",Kepler-432,293.282206,48.2859,13.0,,10.684,10.221,,870.0,1.32,4.06,4.2,"2MASS J19330772+4817092, KIC 10864656, KOI-1299, WISE J193307.73+481709.3"
Kepler-433 b,Confirmed,2.82,1.45,5.33408384,,2015,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"KOI-206 b, 2MASS J19502247+4058381 b, K00206.01, KIC 5728139 b, KOI-206.01, WISE J195022.46+405838.0 b",Kepler-433,297.593651,40.977268,14.5,,13.201,12.948,,1870.0,1.46,2.26,2.67,"KOI-206, 2MASS J19502247+4058381, KIC 5728139, WISE J195022.46+405838.0"
Kepler-434 b,Confirmed,2.86,1.13,12.8747099,,2015,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"KOI-614 b, 2MASS J19342073+4255440 b, K00614.01, KIC 7368664 b, KOI-614.01",Kepler-434,293.586381,42.928913,,,13.4,13.035,,1240.0,1.2,1.38,4.0,"KOI-614, 2MASS J19342073+4255440, KIC 7368664"
Kepler-435 b,Confirmed,0.84,1.99,8.6001536,,2015,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"KOI-680 b, 2MASS J19290895+4311502 b, K00680.01, KIC 7529266 b, KOI-680.01, WISE J192908.95+431150.1 b",Kepler-435,292.287328,43.197281,14.0,,12.593,12.345,,2070.0,1.54,3.21,2.25,"KOI-680, 2MASS J19290895+4311502, KIC 7529266, WISE J192908.95+431150.1"
Kepler-44 b,Confirmed,1.0,1.09,3.2467293,2e-05,2011,,Published in a refereed paper,Primary Transit,,,"KOI-204 b, 2MASS J20002456+4545437 b, K00204.01, KIC 9305831 b, KOI-204.01, WISE J200024.56+454544.0  b",Kepler-44,300.102352,45.762142,15.0,,13.34,12.969,,1229.15,1.12,1.35,5.8,"2MASS J20002456+4545437, KIC 9305831, KOI-204, WISE J200024.56+454544.0"
Kepler-447 b,Confirmed,1.37,1.65,7.79430132,,2015,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"2MASS J19010446+4833360 b, K01800.01, KIC 11017901 b, KOI-1800 b, KOI-1800.01, WISE J190104.44+483335.7 b",Kepler-447,285.268586,48.560013,12.5,,11.211,10.879,,270.12,1.0,1.05,,"2MASS J19010446+4833360, KIC 11017901, KOI-1800, WISE J190104.44+483335.7"
Kepler-45 b,Confirmed,0.505,0.96,2.455239,8.1e-05,2011,,Published in a refereed paper,Primary Transit,,,"KOI-254 b, 2MASS J19312949+4103513 b, K00254.01, KIC 5794240 b, KOI-254.01, WISE J193129.49+410351.1  b",Kepler-45,292.8729,41.064261,16.88,,13.749,13.077,,333.0,0.59,0.55,0.5,"2MASS J19312949+4103513, KIC 5794240, KOI-254, WISE J193129.49+410351.1"
Kepler-454 b,Confirmed,0.01905,0.21,10.57,,2015,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"2MASS J19095484+3813438 b, K00273.01, KIC 3102384 b, KOI-273 b, KOI-273.01, Kepler-454 A b, WISE J190954.86+381344.5 b",Kepler-454,287.478529,38.228866,11.57,,10.357,10.021,,232.41,0.85,1.05,5.25,"2MASS J19095484+3813438, KIC 3102384, KOI-273, Kepler-454 A, WISE J190954.86+381344.5"
Kepler-46 b,Confirmed,6.0,0.808,33.60134,0.00023,2012,,Published in a refereed paper,Primary Transit,,,"KOI-872 b, 2MASS J19170449+4236150 b, K00872.01, KIC 7109675 b, KOI-872.01, WISE J191704.50+423615.0  b",Kepler-46,289.268744,42.604176,15.3,,13.814,13.436,,794.54,0.902,0.79,9.9,"2MASS J19170449+4236150, KIC 7109675, KOI-872, WISE J191704.50+423615.0"
Kepler-492 b,Confirmed,39.9,0.856,11.72012266,,2016,,Announced on a website,Primary Transit,Radial Velocity,Primary Transit,"KOI-205 b, 2MASS J19415919+4232163 b, KIC 7046804 b, K00205.01, KOI-205.01",Kepler-492,295.496656,42.537888,,,13.095,12.709,12.656,642.0,0.94,0.91,4.57,"KOI-205, KIC 7046804, 2MASS J19415919+4232163"
Kepler-5 b,Confirmed,2.111,1.426,3.5484657,,2009,,Announced on a website,Primary Transit,,,"2MASS J19573768+4402061 b, K00018.01, KIC 8191672 b, KOI-18 b, KOI-18.01, WISE J195737.69+440206.0  b",Kepler-5,299.407009,44.035046,,,12.115,11.863,,923.41,1.37,1.79,,"2MASS J19573768+4402061, KIC 8191672, KOI-18, WISE J195737.69+440206.0"
Kepler-50 b,Confirmed,0.1,0.153,7.81254,,2012,,Published in a refereed paper,Primary Transit,,,"2MASS J19122420+5002013 b, K00262.01, KIC 11807274 b, KOI-262 b, KOI-262.01, WISE J191224.21+500201.2  b",Kepler-50,288.100873,50.033718,11.0,,9.518,9.25,,251.91,1.24,1.58,3.8,"2MASS J19122420+5002013, KIC 11807274, KOI-262, WISE J191224.21+500201.2"
Kepler-50 c,Confirmed,0.11,0.194,9.37647,,2012,,Published in a refereed paper,Primary Transit,,,"2MASS J19122420+5002013 c, K00262.02, KIC 11807274 c, KOI-262 c, KOI-262.02, WISE J191224.21+500201.2  c",Kepler-50,288.100873,50.033718,11.0,,9.518,9.25,,251.91,1.24,1.58,3.8,"2MASS J19122420+5002013, KIC 11807274, KOI-262, WISE J191224.21+500201.2"
Kepler-51 d,Confirmed,0.024,0.865,130.194,,2014,,Published in a refereed paper,Primary Transit,,,"KOI-620.02, 2MASS J19455514+4956156 d, K00620.02, KIC 11773022 d, KOI-620 d, WISE J194555.14+495615.6  d",Kepler-51,296.479776,49.937683,15.0,,13.562,13.219,,801.76,1.04,0.94,0.3,"2MASS J19455514+4956156, KIC 11773022, KOI-620, WISE J194555.14+495615.6"
Kepler-51 b,Confirmed,0.007,0.633,45.154,,2012,,Published in a refereed paper,Primary Transit,,,"2MASS J19455514+4956156 b, K00620.01, KIC 11773022 b, KOI-620 b, KOI-620.01, WISE J194555.14+495615.6  b",Kepler-51,296.479776,49.937683,15.0,,13.562,13.219,,801.76,1.04,0.94,0.3,"2MASS J19455514+4956156, KIC 11773022, KOI-620, WISE J194555.14+495615.6"
Kepler-51 c,Confirmed,0.013,0.803,85.312,,2012,,Published in a refereed paper,Primary Transit,,,"2MASS J19455514+4956156 c, K00620.03, KIC 11773022 c, KOI-620 c, KOI-620.03, WISE J194555.14+495615.6  c",Kepler-51,296.479776,49.937683,15.0,,13.562,13.219,,801.76,1.04,0.94,0.3,"2MASS J19455514+4956156, KIC 11773022, KOI-620, WISE J194555.14+495615.6"
Kepler-538 b,Confirmed,0.03335,0.198,81.73778,,2016,,Announced on a website,Primary Transit,Spectrum,Primary Transit,"2MASS J19495685+4937244 b, K00365.01, KIC 11623629 b, KOI-365 b, KOI-365.01, Kepler-538 A b, TYC 3565-1191-1 b, WISE J194956.79+493724.2 b",Kepler-538,297.486901,49.623455,,,10.026,9.67,9.645,156.66,0.89,0.87,5.3,"2MASS J19495685+4937244, KIC 11623629, KOI-365, Kepler-538 A, TYC 3565-1191-1, WISE J194956.79+493724.2"
Kepler-539 b,Confirmed,0.97,0.747,125.63243,,2016,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"KOI-372 b, 2MASS J19562938+4152003 b, K00372.01, KIC 6471021 b, KOI-372.01, WISE J195629.39+415200.4 b",Kepler-539,299.122454,41.86676,12.5,,11.294,10.964,,310.01,1.05,0.95,1.1,"2MASS J19562938+4152003, KIC 6471021, KOI-372, WISE J195629.39+415200.4"
Kepler-56 b,Confirmed,0.07,0.581,10.5016,,2012,,Published in a refereed paper,Primary Transit,,,"2MASS J19350200+4152187 b, K01241.02, KIC 6448890 b, KOI-1241 b, KOI-1241.02, WISE J193501.99+415218.5 b",Kepler-56,293.758347,41.871869,13.0,,10.813,10.33,,936.96,1.32,4.23,3.5,"2MASS J19350200+4152187, KIC 6448890, KOI-1241, WISE J193501.99+415218.5"
Kepler-56 c,Confirmed,0.57,0.874,21.40239,,2012,,Published in a refereed paper,Primary Transit,,,"2MASS J19350200+4152187 c, K01241.01, KIC 6448890 c, KOI-1241 c, KOI-1241.01, WISE J193501.99+415218.5 c",Kepler-56,293.758347,41.871869,13.0,,10.813,10.33,,936.96,1.32,4.23,3.5,"2MASS J19350200+4152187, KIC 6448890, KOI-1241, WISE J193501.99+415218.5"
Kepler-59 b,Confirmed,2.05,0.098,11.8681707,,2012,,Published in a refereed paper,Primary Transit,TTV,Primary Transit,"2MASS J19080948+4638244 b, K01529.02, KIC 9821454 b, KOI-1529 b, KOI-1529.02, WISE J190809.47+463824.4  b",Kepler-59,287.039503,46.640129,14.8,,13.253,12.974,,1203.57,1.04,0.94,,"2MASS J19080948+4638244, KIC 9821454, KOI-1529, WISE J190809.47+463824.4"
Kepler-59 c,Confirmed,1.37,0.177,17.9801235,,2012,,Published in a refereed paper,Primary Transit,TTV,Primary Transit,"2MASS J19080948+4638244 c, K01529.01, KIC 9821454 c, KOI-1529 c, KOI-1529.01, WISE J190809.47+463824.4  c",Kepler-59,287.039503,46.640129,14.8,,13.253,12.974,,1203.57,1.04,0.94,,"2MASS J19080948+4638244, KIC 9821454, KOI-1529, WISE J190809.47+463824.4"
Kepler-6 b,Confirmed,0.668,1.304,3.2346996,,2009,,Published in a refereed paper,Primary Transit,,,"2MASS J19472094+4814238 b, K00017.01, KIC 10874614 b, KOI-17 b, KOI-17.01, WISE J194720.94+481423.9  b",Kepler-6,296.837254,48.239964,,,12.001,11.706,,597.14,1.21,1.39,3.8,"2MASS J19472094+4814238, KIC 10874614, KOI-17, WISE J194720.94+481423.9"
Kepler-60 d,Confirmed,0.01309,0.178,11.8981,,2012,,Published in a refereed paper,Primary Transit,TTV,Primary Transit,"2MASS J19155069+4215540 d, K02086.03, KIC 6768394 d, KOI-2086 d, KOI-2086.03, WISE J191550.69+421554.0  d",Kepler-60,288.961242,42.265011,14.5,,12.804,12.569,,1056.17,1.04,1.26,,"2MASS J19155069+4215540, KIC 6768394, KOI-2086, WISE J191550.69+421554.0"
Kepler-60 b,Confirmed,0.01318,0.153,7.1334,,2012,,Published in a refereed paper,Primary Transit,TTV,Primary Transit,"2MASS J19155069+4215540 b, K02086.01, KIC 6768394 b, KOI-2086 b, KOI-2086.01, WISE J191550.69+421554.0  b",Kepler-60,288.961242,42.265011,14.5,,12.804,12.569,,1056.17,1.04,1.26,,"2MASS J19155069+4215540, KIC 6768394, KOI-2086, WISE J191550.69+421554.0"
