name,planet_status,mass,radius,orbital_period,angular_distance,discovered,temp_measured,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_mass,star_radius,star_age,star_alternate_names
KELT-23A b,Confirmed,0.938,1.323,2.255251,,2019,,Published in a refereed paper,Primary Transit,Spectrum,Primary Transit,,KELT-23A,232.145833345,66.358888903,10.4,,,,,125.42,0.942,0.996,6.4,BD+66 911
KELT-25 b,Confirmed,21.0,1.642,4.401131,,2020,,Submitted to a professional journal,Primary Transit,Radial Velocity,Primary Transit,,KELT-25,108.123125169974,-24.9535616681318,9.63,,,,,442.7,2.18,2.264,0.46,"CD-24 5016, TOI 626"
KELT-4 A b,Confirmed,0.884,1.706,2.9895933,,2013,,Published in a refereed paper,Radial Velocity,Radial Velocity,Primary Transit,BD+26 2091A b,KELT-4 A,157.062545838,25.573194461,,,,,,211.0,1.204,1.61,4.38,BD+26 2091A
KELT-8 b,Confirmed,0.874,1.86,3.24406,,2015,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,KELT-8,283.304166671,24.127500011,10.83,,,,,236.0,1.211,1.67,5.4,HD 343246
Kepler-10 b,Confirmed,0.0145,0.132,0.837491,9.7e-05,2011,,Published in a refereed paper,Primary Transit,,,"2MASS J19024305+5014286 b, K00072.01, KIC 11904151 b, KOI-72 b, KOI-72.01, WISE J190243.03+501429.1  b",Kepler-10,285.679394,50.241299,11.16,,9.889,9.563,,186.5,0.91,1.06,10.6,"2MASS J19024305+5014286, KIC 11904151, KOI-72, WISE J190243.03+501429.1"
Kepler-10 c,Confirmed,0.02319,0.2097,45.2946,0.001391,2011,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"2MASS J19024305+5014286 c, K00072.02, KIC 11904151 c, KOI-72 c, KOI-72.02, WISE J190243.03+501429.1  c",Kepler-10,285.679394,50.241299,11.16,,9.889,9.563,,186.5,0.91,1.06,10.6,"2MASS J19024305+5014286, KIC 11904151, KOI-72, WISE J190243.03+501429.1"
Kepler-101 b,Confirmed,0.16,0.51,3.4876812,,2014,,Announced on a website,Primary Transit,,,"2MASS J18530131+4821188 b, K00046.01, KIC 10905239 b, KOI-46 b, KOI-46.01, WISE J185301.32+482118.9  b",Kepler-101,283.255489,48.355228,,,12.403,12.112,12.011,953.44,1.17,1.56,5.9,"2MASS J18530131+4821188, KIC 10905239, KOI-46, WISE J185301.32+482118.9"
Kepler-101 c,Confirmed,0.01,0.112,6.02976,,2014,,Announced on a website,Primary Transit,,,"2MASS J18530131+4821188 c, K00046.02, KIC 10905239 c, KOI-46 c, KOI-46.02, WISE J185301.32+482118.9  c",Kepler-101,283.255489,48.355228,,,12.403,12.112,12.011,953.44,1.17,1.56,5.9,"2MASS J18530131+4821188, KIC 10905239, KOI-46, WISE J185301.32+482118.9"
Kepler-102 e,Confirmed,0.028,0.198,16.1457,,2013,,Published in a refereed paper,Primary Transit,,,"KOI-82.01, 2MASS J18455585+4712289 e, K00082.01, KIC 10187017 e, KOI-82 e, WISE J184555.80+471228.4  e",Kepler-102,281.482749,47.208031,11.492,11.15,9.984,9.446,9.351,108.13,0.81,0.76,1.41,"KOI-82, KIC 10187017, 2MASS J18455585+4712289, WISE J184555.80+471228.4"
Kepler-102 f,Confirmed,0.01636,0.079,27.4536,,2014,,Published in a refereed paper,Primary Transit,,,"KOI-82.03, 2MASS J18455585+4712289 f, K00082.03, KIC 10187017 f, KOI-82 f, WISE J184555.80+471228.4  f",Kepler-102,281.482749,47.208031,11.492,11.15,9.984,9.446,9.351,108.13,0.81,0.76,1.41,"KOI-82, KIC 10187017, 2MASS J18455585+4712289, WISE J184555.80+471228.4"
Kepler-102 b,Confirmed,0.01353,0.042,5.28696,,2014,,Published in a refereed paper,Primary Transit,,,"KOI-82.05, 2MASS J18455585+4712289 b, K00082.05, KIC 10187017 b, KOI-82 b, WISE J184555.80+471228.4  b",Kepler-102,281.482749,47.208031,11.492,11.15,9.984,9.446,9.351,108.13,0.81,0.76,1.41,"KOI-82, KIC 10187017, 2MASS J18455585+4712289, WISE J184555.80+471228.4"
Kepler-102 c,Confirmed,0.00944,0.052,7.07142,,2014,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"KOI-82.04, 2MASS J18455585+4712289 c, K00082.04, KIC 10187017 c, KOI-82 c, WISE J184555.80+471228.4  c",Kepler-102,281.482749,47.208031,11.492,11.15,9.984,9.446,9.351,108.13,0.81,0.76,1.41,"KOI-82, KIC 10187017, 2MASS J18455585+4712289, WISE J184555.80+471228.4"
Kepler-103 b,Confirmed,0.031,0.301,15.9654,,2014,,Published in a refereed paper,Primary Transit,Spectrum,Primary Transit,"2MASS J19155629+4003522 b, K00108.01, KIC 4914423 b, KOI-108 b, KOI-108.01, WISE J191556.29+400352.2  b",Kepler-103,288.984555,40.064521,12.287,12.132,11.193,10.941,10.873,501.93,1.09,1.44,5.7,"KOI-108, KIC 4914423, 2MASS J19155629+4003522, WISE J191556.29+400352.2"
Kepler-103 c,Confirmed,0.114,0.459,179.612,,2014,,Published in a refereed paper,Primary Transit,Spectrum,,"2MASS J19155629+4003522 c, K00108.02, KIC 4914423 c, KOI-108 c, KOI-108.02, WISE J191556.29+400352.2  c",Kepler-103,288.984555,40.064521,12.287,12.132,11.193,10.941,10.873,501.93,1.09,1.44,5.7,"KOI-108, KIC 4914423, 2MASS J19155629+4003522, WISE J191556.29+400352.2"
Kepler-104 b,Confirmed,0.0167,0.277,11.427548,,2014,,Published in a refereed paper,Primary Transit,TTV,,"2MASS J19102510+4210004 b, K00111.01, KIC 6678383 b, KOI-111 b, KOI-111.01, Kepler-104 A b, WISE J191025.11+420959.7  b",Kepler-104,287.604612,42.166779,,,11.558,11.251,11.209,405.42,0.81,1.35,,"2MASS J19102510+4210004, KIC 6678383, KOI-111, Kepler-104 A, WISE J191025.11+420959.7"
Kepler-104 c,Confirmed,0.0242,0.279,23.668205,,2014,,Published in a refereed paper,Primary Transit,TTV,,"2MASS J19102510+4210004 c, K00111.02, KIC 6678383 c, KOI-111 c, KOI-111.02, Kepler-104 A c, WISE J191025.11+420959.7  c",Kepler-104,287.604612,42.166779,,,11.558,11.251,11.209,405.42,0.81,1.35,,"2MASS J19102510+4210004, KIC 6678383, KOI-111, Kepler-104 A, WISE J191025.11+420959.7"
Kepler-104 d,Confirmed,0.0311,0.319,51.755394,,2014,,Published in a refereed paper,Primary Transit,TTV,,"2MASS J19102510+4210004 d, K00111.03, KIC 6678383 d, KOI-111 d, KOI-111.03, Kepler-104 A d, WISE J191025.11+420959.7  d",Kepler-104,287.604612,42.166779,,,11.558,11.251,11.209,405.42,0.81,1.35,,"2MASS J19102510+4210004, KIC 6678383, KOI-111, Kepler-104 A, WISE J191025.11+420959.7"
Kepler-105 b,Confirmed,0.016,0.429,5.4122,,2013,,Published in a refereed paper,Primary Transit,TTV,Primary Transit,"KIC 9579641 b, K00115.01, 2MASS J19113295+4616344 b, KOI-115 b, KOI-115.01, WISE J191132.93+461634.0  b",Kepler-105,287.887325,46.276237,,,11.811,11.555,11.503,465.33,0.96,0.89,,"KOI-115, 2MASS J19113295+4616344, KIC 9579641, WISE J191132.93+461634.0"
